CountOfSubdomains,DomainLenght,CountOfCharInFQDN,CountOfSuffix,CountOfDigitsInFQDN,CountOfLettersInFQDN,CountOfDirectory,CountOfLetters,CountOfDigitInURL,CountOfCharInURL,CountOfPercent,CountOfQuestion,CountOfEqual,CountOfAmpersand,malicious
1,3,23,0,0,21,4,201,106,42,42,1,7,6,1
1,3,23,0,0,21,4,201,106,42,42,1,7,6,1
1,3,23,0,0,21,4,201,106,42,42,1,7,6,1
1,3,23,0,0,21,4,201,106,42,42,1,7,6,1
1,3,12,0,0,9,5,98,83,72,72,0,0,0,1
1,3,12,0,0,9,5,104,74,72,72,0,0,0,1
1,3,15,0,0,13,2,204,33,2,2,1,4,3,1
1,3,12,0,0,9,5,86,68,60,60,0,0,0,1
1,3,12,0,0,9,5,83,71,60,60,0,0,0,1
1,3,20,0,0,18,5,143,33,9,9,1,10,9,1
1,3,20,0,0,18,5,143,33,9,9,1,10,9,1
1,3,20,0,0,18,5,143,33,9,9,1,10,9,1
1,3,20,0,0,18,5,143,33,9,9,1,10,9,1
1,3,12,0,0,9,5,85,61,56,56,0,0,0,1
1,3,14,0,0,12,3,78,60,63,63,0,0,0,1
1,3,14,0,0,12,3,78,60,63,63,0,0,0,1
1,3,14,0,0,12,3,75,63,63,63,0,0,0,1
1,3,14,0,0,12,3,75,63,63,63,0,0,0,1
1,3,14,0,0,12,3,75,63,63,63,0,0,0,1
1,3,14,0,0,12,3,75,63,63,63,0,0,0,1
1,3,16,0,0,14,3,152,16,7,7,1,7,6,1
1,3,16,0,0,14,3,146,25,4,4,1,9,8,1
1,3,16,0,0,14,3,146,25,4,4,1,9,8,1
1,3,16,0,0,14,3,146,25,4,4,1,9,8,1
1,3,16,0,0,14,3,146,25,4,4,1,9,8,1
1,3,16,0,0,14,3,146,25,4,4,1,9,8,1
1,3,16,0,0,14,3,149,20,7,7,1,7,6,1
1,3,14,0,0,12,5,72,67,54,54,0,0,0,1
1,3,14,0,0,12,5,72,67,54,54,0,0,0,1
1,3,16,0,0,14,3,149,16,7,7,1,7,6,1
1,3,14,0,1,11,7,95,89,0,0,0,0,0,1
1,3,14,0,1,11,7,95,89,0,0,0,0,0,1
1,3,14,0,1,11,7,95,89,0,0,0,0,0,1
1,3,16,0,0,14,5,83,78,25,25,0,1,0,1
1,3,16,0,0,14,5,83,78,25,25,0,1,0,1
1,3,14,0,0,12,14,120,36,0,0,1,2,1,1
1,3,14,0,0,12,14,121,36,0,0,1,2,1,1
1,3,16,0,0,14,3,144,16,7,7,1,7,6,1
1,3,16,0,0,14,3,144,16,7,7,1,7,6,1
1,3,14,0,0,12,3,75,51,57,57,0,0,0,1
1,3,14,0,0,12,3,75,51,57,57,0,0,0,1
1,3,14,0,0,12,3,75,51,57,57,0,0,0,1
1,3,14,0,0,12,3,75,51,57,57,0,0,0,1
1,3,14,0,0,12,14,118,36,0,0,1,2,1,1
1,3,16,0,0,14,3,142,16,7,7,1,7,6,1
1,3,16,0,0,14,3,142,16,7,7,1,7,6,1
1,3,14,0,0,12,5,78,53,51,51,0,0,0,1
1,3,14,0,0,12,5,78,53,51,51,0,0,0,1
1,3,14,0,0,12,14,113,36,0,0,1,2,1,1
1,3,16,0,0,14,3,140,16,7,7,1,7,6,1
1,3,12,0,0,9,5,76,54,48,48,0,0,0,1
1,3,16,0,0,14,3,140,16,7,7,1,7,6,1
1,3,16,0,0,14,3,140,16,7,7,1,7,6,1
1,3,14,0,0,12,3,132,24,4,4,1,8,7,1
1,3,16,0,0,14,3,136,16,7,7,1,7,6,1
1,3,16,0,0,14,3,138,16,7,7,1,7,6,1
1,3,14,0,0,12,2,150,20,0,0,1,5,2,1
1,3,16,0,0,14,3,136,16,7,7,1,7,6,1
1,3,14,0,0,12,14,109,36,0,0,1,2,1,1
1,3,16,0,0,14,3,134,16,7,7,1,7,6,1
1,3,14,0,0,12,4,109,25,0,0,1,19,18,1
1,3,14,0,0,12,4,109,25,0,0,1,19,18,1
1,3,14,0,0,12,4,109,25,0,0,1,19,18,1
1,3,14,0,0,12,4,109,25,0,0,1,19,18,1
1,3,14,0,0,12,4,109,25,0,0,1,19,18,1
1,3,14,0,0,12,4,109,25,0,0,1,19,18,1
1,3,14,0,0,12,4,109,25,0,0,1,19,18,1
1,3,14,0,0,12,4,109,25,0,0,1,19,18,1
1,3,14,0,0,12,4,109,25,0,0,1,19,18,1
1,3,14,0,0,12,4,109,25,0,0,1,19,18,1
1,3,20,0,0,18,2,111,43,13,13,1,2,1,1
1,3,20,0,0,18,2,111,43,13,13,1,2,1,1
1,3,20,0,0,18,2,111,43,13,13,1,2,1,1
1,3,20,0,0,18,2,111,43,13,13,1,2,1,1
1,3,20,0,0,18,2,111,43,13,13,1,2,1,1
1,3,20,0,0,18,2,111,43,13,13,1,2,1,1
1,3,20,0,0,18,2,111,43,13,13,1,2,1,1
1,3,20,0,0,18,2,111,43,13,13,1,2,1,1
